system,cpu_cores,users,ramp,duration,request_count,failure_count,rps,failures_per_sec,avg_response_ms,median_ms,p50,p66,p75,p80,p90,p95,p98,p99,p99_9,max_ms,avg_content_size
fastid,1,1000,50,120,42427,0,355.2082190168361,0.0,1337.9494729111602,1300,1300,1500,1500,1600,1700,1800,3200,5500,7200,7381.118399993284,466.0
fastid,1,100,10,60,4400,0,74.12826155010185,0.0,8.727489067869927,7,7,8,9,10,11,14,30,38,260,266.29870000761,466.0
fastid,1,2000,50,120,38870,0,324.199480066131,0.0,3844.393331952642,3900,3900,4200,4400,4500,4800,5200,16000,26000,38000,39818.40109999757,466.0
fastid,1,500,25,90,30753,0,343.97817218620355,0.0,55.00762471632334,19,19,28,43,65,180,250,340,410,670,704.2117999808397,466.0
keycloak,1,1000,50,120,13751,0,115.6303810558835,0.0,6561.193490240889,6000,6000,6300,7000,7800,9300,10000,10000,11000,11000,11606.122299999695,2457.0
keycloak,1,100,10,60,3631,0,61.10443959233888,0.0,278.83244522138386,10,10,22,67,110,350,600,5500,8600,11000,11433.35360000492,2457.0
keycloak,1,2000,50,120,13200,0,110.00976569718392,0.0,13103.21649418926,13000,13000,14000,14000,15000,16000,16000,16000,17000,17000,17245.13399999705,2457.0
keycloak,1,500,25,90,9102,0,101.43647220642008,0.0,3116.442708591554,2900,2900,3400,3900,4100,4500,4700,5100,5400,7300,7292.833999992581,2457.0
fastid,16,1000,50,120,87446,0,732.2700314082907,0.0,10.808884416708135,7,7,9,11,12,17,27,51,76,150,370.6180999870412,466.0
fastid,16,100,10,60,4392,0,74.10792978946509,0.0,5.963711612379176,5,5,6,6,7,8,9,17,21,43,46.29770002793521,466.0
fastid,16,2000,50,120,120417,0,1003.4647842535288,0.0,352.4864131825394,260,260,500,620,690,810,900,1000,1100,2000,3013.046199979726,466.0
fastid,16,500,25,90,32006,0,358.15181029498154,0.0,7.794758432784553,6,6,7,8,9,12,15,28,42,80,130.2418000122998,466.0
keycloak,16,1000,50,120,87385,0,729.8926334157758,0.0,14.27302762138586,9,9,10,12,13,19,34,64,100,640,1678.030699986266,2457.0
keycloak,16,100,10,60,4394,0,74.09988075963281,0.0,11.779181270128474,9,9,9,10,10,12,15,28,36,990,1001.9626999855972,2457.0
keycloak,16,2000,50,120,111246,0,930.2939394661926,0.0,460.1116365586401,400,400,680,800,860,980,1100,1200,1300,2700,6086.358100001235,2457.0
keycloak,16,500,25,90,31918,0,356.9378283440979,0.0,10.158720997517332,8,8,9,10,10,12,15,27,48,290,1262.69069997943,2457.0
fastid,2,1000,50,120,82173,0,688.0079931112833,0.0,91.889969298938,39,39,68,110,150,270,390,480,530,660,885.1886999909766,466.0
fastid,2,100,10,60,4373,0,73.76912954759224,0.0,6.741635216136582,6,6,7,7,8,9,11,19,24,68,80.67289998871274,466.0
fastid,2,2000,50,120,72974,0,607.1894308193506,0.0,1482.6441463973872,1600,1600,1700,1800,1900,2000,2200,4100,5900,10000,11277.87730001728,466.0
fastid,2,500,25,90,31799,0,356.1516222418399,0.0,11.217044029725791,8,8,10,12,13,18,27,48,70,180,258.7258999992628,466.0
keycloak,2,1000,50,120,32795,0,275.90572670917925,0.0,2074.4917148894237,2000,2000,2100,2200,2300,2500,3100,3500,3600,3800,4336.076100007631,2457.0
keycloak,2,100,10,60,4328,0,73.00592295988075,0.0,22.81091862301989,9,9,9,10,11,13,16,27,36,2900,2924.6299999940675,2457.0
keycloak,2,2000,50,120,31011,0,259.86163256200825,0.0,5041.639511099256,5100,5100,5300,5400,5500,5900,6300,6500,6500,6600,6870.229400024982,2457.0
keycloak,2,500,25,90,22047,0,245.7384995270856,0.0,584.0634315870421,510,510,590,640,690,970,1200,1300,1400,4300,4572.91659998009,2457.0
fastid,4,1000,50,120,87137,0,729.6578427001534,0.0,16.51113627622344,10,10,13,15,18,29,56,100,130,220,343.5862000042107,466.0
fastid,4,100,10,60,4410,0,74.40913393963457,0.0,6.341276394573933,6,6,6,7,7,9,10,17,22,44,50.40749997715466,466.0
fastid,4,2000,50,120,127371,0,1057.7109108019265,0.0,280.0925232957435,210,210,330,410,470,610,760,1000,1200,2100,2278.926800005138,466.0
fastid,4,500,25,90,31913,0,357.28935426654044,0.0,8.575584987276523,7,7,8,9,10,13,17,34,46,120,196.3439999963157,466.0
keycloak,4,1000,50,120,83605,0,697.8301101515348,0.0,69.2894072531469,10,10,15,49,99,230,410,490,530,1300,2373.7581000023056,2457.0
keycloak,4,100,10,60,4362,0,73.5994141768639,0.0,12.161904241105766,9,9,9,10,10,12,14,25,29,1100,1134.2525000218302,2457.0
keycloak,4,2000,50,120,89832,0,752.9904638916007,0.0,951.7340999699546,900,900,980,1100,1300,1500,1500,1600,1600,1700,2258.8570000079926,2457.0
keycloak,4,500,25,90,31759,0,355.5331009018196,0.0,11.946377407928424,8,8,9,10,10,12,15,33,52,1300,2270.576599985361,2457.0
