Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781383095,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781383096,25,,Aggregated,0.000000,0.000000,200,240,250,250,250,260,260,260,260,260,260,29,0,200,186.60778965467813,5.627700011245906,258.72589999926277,466.0
1781383097,50,,Aggregated,0.000000,0.000000,37,44,180,200,250,250,260,260,260,260,260,81,0,37,80.54693703852985,3.9428999880328774,258.72589999926277,466.0
1781383098,100,,Aggregated,25.000000,0.000000,33,55,98,100,200,250,250,260,260,260,260,148,0,31,63.17762770344711,3.9428999880328774,258.72589999926277,466.0
1781383099,125,,Aggregated,32.500000,0.000000,9,39,45,55,100,200,250,250,260,260,260,255,0,9,43.110168627782855,3.4075000148732215,258.72589999926277,466.0
1781383100,150,,Aggregated,44.666667,0.000000,8,32,43,46,98,190,250,250,260,260,260,360,0,8,35.07255166639678,3.027500002644956,258.72589999926277,466.0
1781383101,175,,Aggregated,54.000000,0.000000,8,17,40,43,62,180,240,250,260,260,260,491,0,8,29.387722606829968,3.027500002644956,258.72589999926277,466.0
1781383102,200,,Aggregated,66.400000,0.000000,7,11,37,42,51,99,200,250,260,260,260,642,0,7,25.67940436090006,3.027500002644956,258.72589999926277,466.0
1781383103,225,,Aggregated,74.166667,0.000000,7,10,32,42,57,98,200,250,260,260,260,802,0,7,24.66256670773429,3.027500002644956,258.72589999926277,466.0
1781383104,250,,Aggregated,84.714286,0.000000,7,10,20,39,51,96,180,230,260,260,260,1005,0,7,22.28097393005433,3.027500002644956,258.72589999926277,466.0
1781383105,275,,Aggregated,93.500000,0.000000,8,11,19,36,49,79,180,200,260,260,260,1208,0,8,21.1257868375963,3.027500002644956,258.72589999926277,466.0
1781383106,300,,Aggregated,103.666667,0.000000,8,10,16,30,49,74,100,200,260,260,260,1444,0,8,19.72240602513427,3.027500002644956,258.72589999926277,466.0
1781383107,325,,Aggregated,114.300000,0.000000,8,10,14,24,47,57,99,200,260,260,260,1698,0,8,18.426607597247834,3.027500002644956,258.72589999926277,466.0
1781383108,350,,Aggregated,133.200000,0.000000,7,10,13,20,46,57,98,180,260,260,260,1960,0,7,17.849588928650945,3.027500002644956,258.72589999926277,466.0
1781383109,375,,Aggregated,153.800000,0.000000,8,10,14,19,45,53,96,180,250,260,260,2258,0,8,17.151218334828386,3.027500002644956,258.72589999926277,466.0
1781383110,400,,Aggregated,173.600000,0.000000,7,10,13,17,45,53,95,100,250,260,260,2562,0,7,16.48708224043428,3.027500002644956,258.72589999926277,466.0
1781383111,425,,Aggregated,192.100000,0.000000,7,10,12,16,43,52,94,100,250,260,260,2893,0,7,15.78373895615862,3.027500002644956,258.72589999926277,466.0
1781383112,450,,Aggregated,210.400000,0.000000,8,10,12,15,43,52,77,99,250,260,260,3237,0,8,15.569588909494819,3.027500002644956,258.72589999926277,466.0
1781383113,475,,Aggregated,231.700000,0.000000,8,10,13,16,44,55,98,140,250,260,260,3582,0,8,16.50514034071736,3.027500002644956,258.72589999926277,466.0
1781383114,500,,Aggregated,250.100000,0.000000,8,10,13,17,45,61,110,160,250,260,260,3972,0,8,17.33138955200925,3.027500002644956,258.72589999926277,466.0
1781383115,500,,Aggregated,271.700000,0.000000,8,11,15,20,47,66,120,160,250,260,260,4381,0,8,18.142772403709525,3.027500002644956,258.72589999926277,466.0
1781383116,500,,Aggregated,290.100000,0.000000,8,11,14,18,45,61,110,150,250,260,260,4770,0,8,17.45679046129134,3.027500002644956,258.72589999926277,466.0
1781383117,500,,Aggregated,306.800000,0.000000,8,11,14,17,43,58,100,150,250,260,260,5171,0,8,16.825380912879762,3.027500002644956,258.72589999926277,466.0
1781383118,500,,Aggregated,325.400000,0.000000,8,11,14,16,41,56,99,150,250,260,260,5560,0,8,16.306052931701462,3.027500002644956,258.72589999926277,466.0
1781383119,500,,Aggregated,338.800000,0.000000,8,11,13,16,39,53,98,140,250,260,260,5953,0,8,15.958653670506386,3.027500002644956,258.72589999926277,466.0
1781383120,500,,Aggregated,353.300000,0.000000,8,11,13,16,36,52,96,140,250,260,260,6358,0,8,15.563306480105402,3.027500002644956,258.72589999926277,466.0
1781383121,500,,Aggregated,365.300000,0.000000,8,11,13,16,34,51,94,140,250,260,260,6754,0,8,15.259210497603961,3.027500002644956,258.72589999926277,466.0
1781383122,500,,Aggregated,374.300000,0.000000,8,11,13,15,31,51,87,130,250,260,260,7153,0,8,14.915238305743783,3.027500002644956,258.72589999926277,466.0
1781383123,500,,Aggregated,381.700000,0.000000,8,11,13,15,29,50,83,130,250,260,260,7539,0,8,14.573026608460863,3.027500002644956,258.72589999926277,466.0
1781383124,500,,Aggregated,388.500000,0.000000,8,11,13,15,27,49,81,130,250,260,260,7929,0,8,14.29970949694615,3.027500002644956,258.72589999926277,466.0
1781383125,500,,Aggregated,388.300000,0.000000,8,11,13,15,29,50,78,130,250,260,260,8326,0,8,14.438994018859548,3.027500002644956,258.72589999926277,466.0
1781383126,500,,Aggregated,392.800000,0.000000,8,11,13,15,28,49,76,120,250,260,260,8715,0,8,14.30074811255657,3.027500002644956,258.72589999926277,466.0
1781383127,500,,Aggregated,394.900000,0.000000,8,11,13,15,26,48,75,120,240,260,260,9117,0,8,14.053183657026425,3.027500002644956,258.72589999926277,466.0
1781383128,500,,Aggregated,394.300000,0.000000,8,11,13,15,25,47,74,110,240,260,260,9523,0,8,13.78576761536008,3.027500002644956,258.72589999926277,466.0
1781383129,500,,Aggregated,395.200000,0.000000,8,11,13,14,24,46,72,100,240,260,260,9931,0,8,13.604682076405245,3.027500002644956,258.72589999926277,466.0
1781383130,500,,Aggregated,392.700000,0.000000,8,11,13,14,23,45,70,100,230,260,260,10330,0,8,13.41099987421383,3.027500002644956,258.72589999926277,466.0
1781383131,500,,Aggregated,394.800000,0.000000,8,11,13,14,23,44,69,100,230,260,260,10719,0,8,13.276796398981269,3.027500002644956,258.72589999926277,466.0
1781383132,500,,Aggregated,397.000000,0.000000,8,11,13,14,22,43,65,99,220,260,260,11125,0,8,13.132079397827868,3.027500002644956,258.72589999926277,466.0
1781383133,500,,Aggregated,396.600000,0.000000,8,11,13,14,22,43,63,98,220,260,260,11527,0,8,12.998115442099957,3.027500002644956,258.72589999926277,466.0
1781383134,500,,Aggregated,397.200000,0.000000,8,11,12,14,21,42,61,98,220,260,260,11892,0,8,12.838241330358548,3.027500002644956,258.72589999926277,466.0
1781383135,500,,Aggregated,400.500000,0.000000,8,11,13,14,23,41,60,97,200,260,260,12299,0,8,13.019583828026045,3.027500002644956,258.72589999926277,466.0
1781383136,500,,Aggregated,397.200000,0.000000,8,11,13,14,22,40,58,96,200,260,260,12706,0,8,12.871180489608752,3.027500002644956,258.72589999926277,466.0
1781383137,500,,Aggregated,397.600000,0.000000,8,11,13,14,22,39,57,95,200,260,260,13086,0,8,12.766789668393557,3.027500002644956,258.72589999926277,466.0
1781383138,500,,Aggregated,396.000000,0.000000,8,11,13,14,22,40,61,97,200,260,260,13488,0,8,12.855203314118395,3.027500002644956,258.72589999926277,466.0
1781383139,500,,Aggregated,397.400000,0.000000,8,11,13,14,22,40,62,98,200,260,260,13872,0,8,12.834634176847887,3.027500002644956,258.72589999926277,466.0
1781383140,500,,Aggregated,398.000000,0.000000,8,11,13,14,22,39,60,96,200,260,260,14287,0,8,12.739950850518825,3.027500002644956,258.72589999926277,466.0
1781383141,500,,Aggregated,397.000000,0.000000,8,11,12,14,21,38,59,96,200,260,260,14671,0,8,12.612194772114552,3.027500002644956,258.72589999926277,466.0
1781383142,500,,Aggregated,395.400000,0.000000,8,11,12,14,21,37,58,95,200,260,260,15083,0,8,12.514811768297555,3.027500002644956,258.72589999926277,466.0
1781383143,500,,Aggregated,394.700000,0.000000,8,11,12,14,20,36,57,94,200,260,260,15479,0,8,12.402188016105297,3.027500002644956,258.72589999926277,466.0
1781383144,500,,Aggregated,394.700000,0.000000,8,11,12,14,20,35,57,93,200,260,260,15874,0,8,12.320672363697204,3.027500002644956,258.72589999926277,466.0
1781383145,500,,Aggregated,392.700000,0.000000,8,11,13,14,21,37,57,91,200,260,260,16280,0,8,12.518580896887944,3.027500002644956,258.72589999926277,466.0
1781383146,500,,Aggregated,394.500000,0.000000,8,11,12,14,21,37,56,90,200,260,260,16679,0,8,12.427093650769642,3.027500002644956,258.72589999926277,466.0
1781383147,500,,Aggregated,394.800000,0.000000,8,11,12,14,21,36,56,87,200,260,260,17082,0,8,12.37206213563954,3.027500002644956,258.72589999926277,466.0
1781383148,500,,Aggregated,397.200000,0.000000,8,11,12,14,20,35,55,85,200,260,260,17486,0,8,12.313433775645349,3.027500002644956,258.72589999926277,466.0
1781383149,500,,Aggregated,397.400000,0.000000,8,11,12,14,20,35,54,83,200,260,260,17897,0,8,12.23018389679345,3.027500002644956,258.72589999926277,466.0
1781383150,500,,Aggregated,398.900000,0.000000,8,11,12,14,20,34,54,83,200,260,260,18293,0,8,12.17073035046677,3.027500002644956,258.72589999926277,466.0
1781383151,500,,Aggregated,399.300000,0.000000,8,11,12,14,20,33,53,81,200,260,260,18675,0,8,12.137019416408357,3.027500002644956,258.72589999926277,466.0
1781383152,500,,Aggregated,398.000000,0.000000,8,11,12,14,20,32,53,80,200,260,260,19086,0,8,12.082008053096539,3.027500002644956,258.72589999926277,466.0
1781383153,500,,Aggregated,399.100000,0.000000,8,11,12,14,20,32,53,79,200,260,260,19473,0,8,12.02084329590355,3.027500002644956,258.72589999926277,466.0
1781383154,500,,Aggregated,398.400000,0.000000,8,11,12,14,19,31,52,78,200,260,260,19881,0,8,11.974207107340515,3.027500002644956,258.72589999926277,466.0
1781383155,500,,Aggregated,399.300000,0.000000,8,11,13,14,20,32,54,82,190,250,260,20279,0,8,12.11063684112261,3.027500002644956,258.72589999926277,466.0
1781383156,500,,Aggregated,400.100000,0.000000,8,11,13,14,19,32,53,81,190,250,260,20680,0,8,12.042959434309548,3.027500002644956,258.72589999926277,466.0
1781383157,500,,Aggregated,396.700000,0.000000,8,11,13,14,19,31,53,80,190,250,260,21061,0,8,11.989316010733013,3.027500002644956,258.72589999926277,466.0
1781383158,500,,Aggregated,397.000000,0.000000,8,11,12,14,19,31,52,80,190,250,260,21457,0,8,11.937123922361854,3.027500002644956,258.72589999926277,466.0
1781383159,500,,Aggregated,397.400000,0.000000,8,11,12,14,19,30,52,78,190,250,260,21865,0,8,11.871961262373656,3.027500002644956,258.72589999926277,466.0
1781383160,500,,Aggregated,395.100000,0.000000,8,11,12,14,19,30,52,77,190,250,260,22246,0,8,11.814391634534477,3.027500002644956,258.72589999926277,466.0
1781383161,500,,Aggregated,395.600000,0.000000,8,11,12,14,19,30,52,76,190,250,260,22679,0,8,11.787559795503624,3.027500002644956,258.72589999926277,466.0
1781383162,500,,Aggregated,397.100000,0.000000,8,11,12,14,19,30,52,76,190,250,260,23053,0,8,11.726043664692424,3.027500002644956,258.72589999926277,466.0
1781383163,500,,Aggregated,397.600000,0.000000,8,11,12,14,19,30,52,78,190,250,260,23452,0,8,11.752351624685057,3.027500002644956,258.72589999926277,466.0
1781383164,500,,Aggregated,396.100000,0.000000,8,11,12,14,19,29,52,77,190,250,260,23869,0,8,11.716626000338975,3.027500002644956,258.72589999926277,466.0
1781383165,500,,Aggregated,397.800000,0.000000,8,11,12,14,19,30,51,76,190,250,260,24253,0,8,11.743122141669973,3.027500002644956,258.72589999926277,466.0
1781383166,500,,Aggregated,395.000000,0.000000,8,11,12,14,19,29,51,76,190,250,260,24637,0,8,11.675347911753896,3.027500002644956,258.72589999926277,466.0
1781383167,500,,Aggregated,398.900000,0.000000,8,11,12,14,19,29,51,76,180,250,260,25040,0,8,11.642610299612151,3.027500002644956,258.72589999926277,466.0
1781383168,500,,Aggregated,396.600000,0.000000,8,11,12,14,19,29,51,77,180,250,260,25427,0,8,11.684870193200272,3.027500002644956,258.72589999926277,466.0
1781383169,500,,Aggregated,394.800000,0.000000,8,11,12,14,19,29,51,76,180,250,260,25830,0,8,11.64560096796278,3.027500002644956,258.72589999926277,466.0
1781383170,500,,Aggregated,395.800000,0.000000,8,11,12,14,19,29,51,76,180,250,260,26236,0,8,11.592797514960282,3.027500002644956,258.72589999926277,466.0
1781383171,500,,Aggregated,394.700000,0.000000,8,11,12,14,18,28,51,76,180,250,260,26618,0,8,11.545041043755134,3.027500002644956,258.72589999926277,466.0
