Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781436556,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781436557,100,,Aggregated,0.000000,0.000000,610,630,630,640,640,640,650,650,650,650,650,50,0,610,609.0591099986341,568.8873999752104,645.444400026463,466.0
1781436558,150,,Aggregated,0.000000,0.000000,160,580,590,610,630,640,640,640,650,650,650,135,0,160,281.71022888833517,3.702100017108023,645.444400026463,466.0
1781436559,200,,Aggregated,0.000000,0.000000,78,140,160,170,600,630,640,640,650,650,650,287,0,78,157.61612996439538,3.2475999905727804,645.444400026463,466.0
1781436560,250,,Aggregated,54.000000,0.000000,27,120,140,160,570,610,640,640,650,650,650,481,0,27,115.2784943856781,3.189600014593452,645.444400026463,466.0
1781436561,300,,Aggregated,75.000000,0.000000,13,120,140,160,220,590,630,640,650,650,650,688,0,13,102.17171119201825,3.189600014593452,645.444400026463,466.0
1781436562,350,,Aggregated,97.000000,0.000000,27,120,150,160,260,580,610,640,650,650,650,954,0,27,102.74122997901678,3.1151000293903053,645.444400026463,466.0
1781436563,400,,Aggregated,120.400000,0.000000,21,110,140,160,220,310,610,630,640,650,650,1240,0,21,91.70220491965489,3.1151000293903053,645.444400026463,466.0
1781436564,450,,Aggregated,140.666667,0.000000,37,120,150,170,220,290,600,630,640,650,650,1575,0,37,95.48839212768519,3.1151000293903053,645.444400026463,466.0
1781436565,500,,Aggregated,156.142857,0.000000,86,150,180,200,270,330,590,630,640,650,650,1819,0,86,115.21275387619305,3.1151000293903053,645.444400026463,466.0
1781436566,550,,Aggregated,170.875000,0.000000,130,190,270,380,570,590,650,810,870,890,890,2185,0,130,191.15460022926453,3.1151000293903053,886.2396000185981,466.0
1781436567,600,,Aggregated,188.888889,0.000000,160,240,310,360,560,580,640,790,870,890,890,2585,0,160,206.43161114148086,3.1151000293903053,886.2396000185981,466.0
1781436568,650,,Aggregated,189.700000,0.000000,180,270,360,390,550,580,630,760,870,890,890,2891,0,180,222.31711068830737,3.1151000293903053,886.2396000185981,466.0
1781436569,700,,Aggregated,230.900000,0.000000,220,350,440,510,580,630,690,790,870,890,890,3254,0,220,262.054729871059,3.1151000293903053,886.2396000185981,466.0
