Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781436397,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781436398,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781436399,100,,Aggregated,0.000000,0.000000,1700,1700,1700,1800,1800,1800,1800,1800,1800,1800,1800,100,0,800,1265.0738169980468,740.7056000083685,1794.9396000476554,2457.0
1781436400,200,,Aggregated,0.000000,0.000000,120,780,800,1700,1800,1800,1800,1800,1800,1800,1800,209,0,120,633.9349119620995,10.62610000371933,1794.9396000476554,2457.0
1781436401,250,,Aggregated,50.000000,0.000000,66,120,740,780,1700,1800,1800,1800,1800,1800,1800,395,0,66,355.09400329157666,9.500799991656095,1794.9396000476554,2457.0
1781436402,300,,Aggregated,65.666667,0.000000,23,87,120,160,790,1700,1800,1800,1800,1800,1800,610,0,23,245.04547065618203,7.905100006610155,1794.9396000476554,2457.0
1781436403,350,,Aggregated,95.500000,0.000000,18,67,100,120,770,1700,1800,1800,1800,1800,1800,876,0,18,181.65537785471855,7.583800004795194,1794.9396000476554,2457.0
1781436404,400,,Aggregated,118.800000,0.000000,15,32,81,100,170,790,1700,1800,1800,1800,1800,1191,0,15,141.11332535777143,6.698500015772879,1794.9396000476554,2457.0
1781436405,450,,Aggregated,142.500000,0.000000,15,29,71,90,150,780,1700,1800,1800,1800,1800,1538,0,15,116.57411450014077,6.698500015772879,1794.9396000476554,2457.0
1781436406,500,,Aggregated,164.142857,0.000000,14,27,58,81,140,750,1700,1800,1800,1800,1800,1932,0,14,99.40107557035628,6.698500015772879,1794.9396000476554,2457.0
1781436407,550,,Aggregated,182.000000,0.000000,13,24,41,71,140,170,1700,1700,1800,1800,1800,2346,0,13,86.52583972789317,6.369000009726733,1794.9396000476554,2457.0
1781436408,600,,Aggregated,203.000000,0.000000,14,26,45,68,140,190,790,1700,1800,1800,1800,2861,0,14,79.60762237026937,6.369000009726733,1794.9396000476554,2457.0
1781436409,650,,Aggregated,226.500000,0.000000,14,24,38,58,130,170,780,1700,1800,1800,1800,3398,0,14,71.38792704557864,5.74709998909384,1794.9396000476554,2457.0
